order_id,customer_id,sku,order_date,channel,qty,order_value_inr,lot_code
VR904450,C106340,VA-EB-PL1,2024-06-18,vireo.in,1,2249,PL1-2405-2
VR882363,C108312,VA-EB-PL1,2024-06-19,vireo.in,2,4998,PL1-2405-2
VR897413,C101881,VA-SP-ORB,2024-06-19,Amazon,1,5999,ORB-2404-4
VR898250,C105788,VA-EB-PL1,2024-06-19,vireo.in,1,2499,PL1-2404-4
VR898305,C104619,VA-NB-ARC,2024-06-19,vireo.in,1,1299,ARC-2405-3
VR896805,C105379,VA-SW-NX1,2024-06-20,vireo.in,1,4249,NX1-2403-1
VR897389,C103148,VA-EB-PL1,2024-06-20,vireo.in,1,2499,PL1-2404-4
VR901743,C100611,VA-EB-PL1,2024-06-20,vireo.in,1,1999,PL1-2403-4
VR904982,C105993,VA-EB-PL1,2024-06-20,vireo.in,1,2249,PL1-2403-3
VR880228,C104191,VA-EB-PL1,2024-06-21,Amazon,1,2499,PL1-2405-1
VR892496,C107405,VA-EB-PL1,2024-06-21,vireo.in,1,2374,PL1-2405-4
VR893867,C105456,VA-EB-PL1,2024-06-21,vireo.in,1,1999,PL1-2403-4
VR897911,C107426,VA-SP-ORB,2024-06-21,Amazon,1,5999,ORB-2404-1
VR900666,C100076,VA-EB-PL1,2024-06-21,Flipkart,1,1999,PL1-2404-3
VR882559,C106926,VA-SW-NX1,2024-06-22,Amazon,1,3999,NX1-2404-1
VR893392,C104586,VA-EB-PL1,2024-06-22,Flipkart,1,1999,PL1-2403-2
VR895072,C100365,VA-EB-PL1,2024-06-22,vireo.in,1,2499,PL1-2405-2
VR896096,C102000,VA-SW-NX1,2024-06-22,Amazon,1,4999,NX1-2405-4
VR896792,C105978,VA-SW-NX1,2024-06-22,vireo.in,1,3999,NX1-2404-3
VR898948,C105382,VA-EB-PL1,2024-06-22,vireo.in,1,2499,PL1-2403-1
VR902099,C106796,VA-EB-PL1,2024-06-22,Flipkart,1,2499,PL1-2405-1
VR902428,C107788,VA-EB-PL1,2024-06-22,vireo.in,1,1999,PL1-2405-1
VR892941,C101069,VA-EB-PL1,2024-06-23,vireo.in,1,1999,PL1-2404-3
VR894752,C103477,VA-NB-ARC,2024-06-23,vireo.in,2,2078,ARC-2404-2
VR902294,C105697,VA-EB-PL1,2024-06-23,vireo.in,1,2374,PL1-2405-3
VR880435,C103165,VA-SW-NX1,2024-06-24,Flipkart,1,3999,NX1-2406-3
VR881480,C109048,VA-EB-PL1,2024-06-24,Flipkart,1,2499,PL1-2403-3
VR885310,C103758,VA-AC-CH65,2024-06-24,Flipkart,1,1274,CH65-2406-2
VR887388,C102857,VA-SP-ORB,2024-06-24,Amazon,1,5099,ORB-2405-1
VR889374,C101958,VA-AC-CH65,2024-06-24,Flipkart,1,1499,CH65-2404-2
VR897909,C101047,VA-AC-CH65,2024-06-24,Amazon,1,1499,CH65-2403-3
VR898922,C102307,VA-EB-PL1,2024-06-24,vireo.in,1,2499,PL1-2404-1
VR900183,C106223,VA-SP-ORB,2024-06-24,vireo.in,1,5099,ORB-2403-2
VR903690,C100492,VA-EB-PL1,2024-06-24,vireo.in,1,2499,PL1-2404-4
VR906638,C103937,VA-EB-PL1,2024-06-24,vireo.in,2,4998,PL1-2405-2
VR907059,C101297,VA-EB-PL1,2024-06-24,Amazon,1,1999,PL1-2403-2
VR907880,C105398,VA-EB-PL1,2024-06-24,Amazon,1,2499,PL1-2403-1
VR885032,C102039,VA-EB-PL1,2024-06-25,Amazon,1,2249,PL1-2404-2
VR889804,C103425,VA-NB-ARC,2024-06-25,Amazon,1,1234,ARC-2405-2
VR890881,C100173,VA-AC-CH65,2024-06-25,Amazon,1,1424,CH65-2403-1
VR892817,C105035,VA-EB-PL1,2024-06-25,Amazon,2,4248,PL1-2403-1
VR902205,C100618,VA-HP-ST2,2024-06-25,Amazon,1,3999,ST2-2403-1
VR903896,C104977,VA-EB-PL1,2024-06-25,Amazon,1,2499,PL1-2405-4
VR909988,C107743,VA-EB-PL1,2024-06-25,vireo.in,1,2499,PL1-2403-2
VR884841,C103268,VA-EB-PL1,2024-06-26,Amazon,1,2499,PL1-2405-1
VR886746,C100848,VA-EB-PL1,2024-06-26,vireo.in,1,2499,PL1-2404-4
VR887419,C105832,VA-HP-ST2,2024-06-26,vireo.in,1,4749,ST2-2403-2
VR893073,C103953,VA-NB-ARC,2024-06-26,Amazon,1,1234,ARC-2405-4
VR900479,C100319,VA-EB-PL1,2024-06-26,vireo.in,1,2499,PL1-2405-2
VR906012,C105263,VA-SP-ORB,2024-06-26,Flipkart,1,5099,ORB-2405-1
VR881615,C101927,VA-SW-NX1,2024-06-27,vireo.in,1,4999,NX1-2404-2
VR884359,C102579,VA-AC-CBL,2024-06-27,vireo.in,1,339,CBL-2405-3
VR891511,C108226,VA-NB-ARC,2024-06-27,vireo.in,1,1104,ARC-2405-1
VR895168,C103294,VA-SP-ORB,2024-06-27,Amazon,1,5699,ORB-2403-4
VR895825,C105491,VA-EB-PL1,2024-06-27,vireo.in,1,1999,PL1-2403-2
VR891622,C107976,VA-EB-PL1,2024-06-28,Amazon,1,2499,PL1-2405-3
VR897777,C102395,VA-HP-ST2,2024-06-28,Flipkart,1,4749,ST2-2405-1
VR904664,C100821,VA-HP-ST2,2024-06-28,vireo.in,1,4749,ST2-2403-3
VR907112,C102979,VA-SW-NX1,2024-06-28,Amazon,1,3999,NX1-2404-4
VR888712,C108361,VA-EB-PL1,2024-06-29,Amazon,2,3998,PL1-2405-2
VR889634,C109486,VA-AC-CH65,2024-06-29,vireo.in,1,1499,CH65-2404-1
VR890689,C102244,VA-EB-PL1,2024-06-29,vireo.in,1,2499,PL1-2406-4
VR898019,C108670,VA-EB-PL1,2024-06-29,Amazon,2,3998,PL1-2404-4
VR898260,C103829,VA-SW-NX1,2024-06-29,vireo.in,1,4499,NX1-2403-3
VR907926,C106070,VA-EB-PL1,2024-06-29,Flipkart,1,2249,PL1-2405-1
VR885080,C105883,VA-EB-PL1,2024-06-30,vireo.in,1,2499,PL1-2404-3
VR886855,C102481,VA-EB-PL1,2024-06-30,vireo.in,1,2499,PL1-2403-2
VR889744,C108454,VA-SP-ORB,2024-06-30,vireo.in,1,5999,ORB-2405-4
VR898776,C105822,VA-EB-PL1,2024-06-30,Amazon,1,2499,PL1-2403-4
VR880892,C109326,VA-HP-ST2,2024-07-01,vireo.in,1,4999,ST2-2405-3
VR881237,C109112,VA-EB-PL1,2024-07-01,Flipkart,1,2249,PL1-2403-2
VR889769,C107457,VA-EB-PL1,2024-07-01,vireo.in,1,2499,PL1-2405-2
VR890802,C107032,VA-EB-PL1,2024-07-01,vireo.in,1,2499,PL1-2404-4
VR901642,C104431,VA-AC-CH65,2024-07-01,Amazon,1,1349,CH65-2405-4
VR880329,C104753,VA-HP-ST2,2024-07-02,vireo.in,1,4749,ST2-2403-1
VR894876,C106137,VA-EB-PL1,2024-07-02,Amazon,1,2374,PL1-2404-3
VR896196,C107872,VA-SW-NX1,2024-07-02,Amazon,1,4999,NX1-2405-4
VR884520,C100048,VA-NB-ARC,2024-07-03,vireo.in,1,1299,ARC-2403-4
VR886711,C105349,VA-NB-ARC,2024-07-03,Flipkart,2,2208,ARC-2405-3
VR893194,C108939,VA-SP-ORB,2024-07-03,Amazon,1,5999,ORB-2405-3
VR897228,C108618,VA-SW-NX1,2024-07-03,Flipkart,1,4999,NX1-2404-4
VR901464,C101287,VA-SW-NX1,2024-07-03,vireo.in,1,4499,NX1-2405-3
VR881704,C105205,VA-EB-PL1,2024-07-04,Amazon,1,2499,PL1-2405-2
VR885045,C101803,VA-SW-NX1,2024-07-04,Amazon,1,4499,NX1-2406-1
VR885642,C106428,VA-EB-PL1,2024-07-04,Flipkart,1,1999,PL1-2406-1
VR894261,C101047,VA-NB-ARC,2024-07-04,vireo.in,1,1169,ARC-2403-4
VR899728,C109480,VA-EB-PL1,2024-07-04,Amazon,2,3998,PL1-2405-3
VR900018,C105271,VA-AC-CH65,2024-07-04,vireo.in,1,1424,CH65-2406-3
VR900467,C108191,VA-NB-ARC,2024-07-04,Amazon,1,1299,ARC-2404-3
VR888446,C101737,VA-SW-NX1,2024-07-05,vireo.in,1,4999,NX1-2405-3
VR889806,C109317,VA-EB-PL1,2024-07-05,vireo.in,1,1999,PL1-2404-2
VR891687,C106894,VA-AC-CH65,2024-07-05,vireo.in,1,1424,CH65-2404-1
VR893961,C105424,VA-NB-ARC,2024-07-05,Amazon,1,1039,ARC-2404-2
VR899398,C108527,VA-EB-PL1,2024-07-05,Amazon,1,2499,PL1-2403-3
VR904844,C102634,VA-SP-ORB,2024-07-05,Amazon,1,5999,ORB-2405-2
VR907652,C103559,VA-NB-ARC,2024-07-05,vireo.in,1,1299,ARC-2405-2
VR880229,C108494,VA-EB-PL1,2024-07-06,vireo.in,1,2499,PL1-2404-2
VR891605,C105059,VA-EB-PL1,2024-07-06,Flipkart,1,2499,PL1-2404-4
VR894571,C109061,VA-EB-PL1,2024-07-06,vireo.in,1,2499,PL1-2405-2
VR906398,C105240,VA-SP-ORB,2024-07-06,Amazon,1,5099,ORB-2405-2
VR907502,C108667,VA-EB-PL1,2024-07-06,vireo.in,2,4748,PL1-2404-1
VR907970,C104898,VA-EB-PL1,2024-07-06,Amazon,1,2124,PL1-2405-1
VR909352,C109360,VA-EB-PL1,2024-07-06,vireo.in,1,2499,PL1-2405-2
VR886409,C107768,VA-EB-PL1,2024-07-07,Amazon,1,1999,PL1-2404-1
VR888945,C104113,VA-HP-ST2,2024-07-07,vireo.in,1,4499,ST2-2404-2
VR897964,C104370,VA-HP-ST2,2024-07-07,Amazon,1,4999,ST2-2403-1
VR900061,C106985,VA-HP-ST2,2024-07-07,Amazon,1,4249,ST2-2405-2
VR902051,C101260,VA-EB-PL1,2024-07-07,vireo.in,1,2499,PL1-2405-4
VR909252,C108196,VA-AC-CH65,2024-07-07,Amazon,1,1274,CH65-2406-1
VR884075,C107702,VA-EB-PL1,2024-07-08,Amazon,1,2499,PL1-2405-1
VR895684,C102145,VA-SP-ORB,2024-07-08,vireo.in,1,5099,ORB-2404-1
VR897783,C104767,VA-EB-PL1,2024-07-08,vireo.in,1,2499,PL1-2406-4
VR898205,C104584,VA-EB-PL1,2024-07-08,Amazon,1,2124,PL1-2405-3
VR906445,C103987,VA-EB-PL1,2024-07-08,Flipkart,1,1999,PL1-2404-3
VR880419,C100354,VA-HP-ST2,2024-07-09,Flipkart,1,4999,ST2-2405-2
VR880675,C101164,VA-EB-PL1,2024-07-09,vireo.in,1,2499,PL1-2404-2
VR887280,C100254,VA-HP-ST2,2024-07-09,vireo.in,1,4749,ST2-2404-2
VR891793,C105922,VA-EB-PL1,2024-07-09,Amazon,1,2499,PL1-2403-2
VR892076,C109065,VA-HP-ST2,2024-07-09,Amazon,1,4499,ST2-2404-3
VR895724,C106511,VA-EB-PL1,2024-07-09,vireo.in,1,2499,PL1-2406-4
VR902831,C102366,VA-HP-ST2,2024-07-09,vireo.in,1,3999,ST2-2403-4
VR887301,C101779,VA-EB-PL1,2024-07-10,vireo.in,1,1999,PL1-2405-4
VR887314,C102936,VA-EB-PL1,2024-07-10,vireo.in,1,2499,PL1-2404-1
VR895030,C102259,VA-EB-PL1,2024-07-10,vireo.in,1,2499,PL1-2406-1
VR895045,C102329,VA-EB-PL1,2024-07-10,Amazon,1,2124,PL1-2403-3
VR899272,C107243,VA-AC-CH65,2024-07-10,Amazon,1,1199,CH65-2403-1
VR900536,C107927,VA-SW-NX1,2024-07-10,Flipkart,1,4999,NX1-2406-4
VR908333,C106446,VA-EB-PL1,2024-07-10,vireo.in,1,2499,PL1-2406-1
VR908359,C102664,VA-AC-CH65,2024-07-10,vireo.in,1,1199,CH65-2406-4
VR886954,C100812,VA-NB-ARC,2024-07-11,vireo.in,1,1299,ARC-2405-1
VR890705,C107707,VA-EB-PL1,2024-07-11,vireo.in,1,2124,PL1-2405-2
VR895142,C102423,VA-EB-PL1,2024-07-11,vireo.in,1,2499,PL1-2406-4
VR880083,C102392,VA-EB-PL1,2024-07-12,Amazon,1,2374,PL1-2405-3
VR894398,C102058,VA-SP-ORB,2024-07-12,vireo.in,1,5399,ORB-2404-3
VR899705,C108752,VA-EB-PL1,2024-07-12,Amazon,1,1999,PL1-2406-4
VR903700,C104648,VA-EB-PL1,2024-07-12,Amazon,1,2374,PL1-2406-1
VR908374,C107423,VA-HP-ST2,2024-07-12,vireo.in,1,3999,ST2-2406-3
VR881776,C106082,VA-NB-ARC,2024-07-13,Amazon,1,1169,ARC-2404-2
VR896078,C104297,VA-SP-ORB,2024-07-13,vireo.in,1,5699,ORB-2405-3
VR897518,C106692,VA-HP-ST2,2024-07-13,vireo.in,1,4499,ST2-2404-2
VR901766,C108579,VA-SP-ORB,2024-07-13,vireo.in,1,5399,ORB-2404-4
VR901770,C104374,VA-AC-CH65,2024-07-13,Amazon,1,1199,CH65-2404-4
VR910094,C102443,VA-EB-PL1,2024-07-13,vireo.in,1,2499,PL1-2405-2
VR882544,C100074,VA-SW-NX1,2024-07-14,vireo.in,1,4999,NX1-2406-4
VR889663,C107200,VA-SP-ORB,2024-07-14,Amazon,1,5999,ORB-2406-4
VR890753,C109068,VA-NB-ARC,2024-07-14,vireo.in,1,1169,ARC-2405-4
VR900264,C108535,VA-NB-ARC,2024-07-14,vireo.in,1,1169,ARC-2406-4
VR902445,C108903,VA-NB-ARC,2024-07-14,vireo.in,1,1299,ARC-2404-3
VR905092,C103602,VA-EB-PL1,2024-07-14,vireo.in,1,2499,PL1-2406-4
VR906566,C109458,VA-AC-CH65,2024-07-14,Amazon,1,1499,CH65-2404-4
VR908125,C103790,VA-SP-ORB,2024-07-14,vireo.in,1,5999,ORB-2405-4
VR909253,C103612,VA-NB-ARC,2024-07-14,vireo.in,1,1234,ARC-2406-3
VR909472,C100937,VA-EB-PL1,2024-07-14,vireo.in,1,1999,PL1-2404-1
VR909665,C103703,VA-SP-ORB,2024-07-14,Amazon,1,5999,ORB-2405-1
VR883888,C103691,VA-HP-ST2,2024-07-15,vireo.in,2,9998,ST2-2404-3
VR884016,C107190,VA-NB-ARC,2024-07-15,vireo.in,1,1299,ARC-2406-4
VR888129,C103831,VA-SW-NX1,2024-07-15,Amazon,1,4999,NX1-2405-2
VR891756,C101617,VA-EB-PL1,2024-07-15,vireo.in,1,2124,PL1-2406-1
VR896339,C102116,VA-AC-CH65,2024-07-15,vireo.in,1,1499,CH65-2406-1
VR896649,C103771,VA-SP-ORB,2024-07-15,vireo.in,1,5699,ORB-2404-4
VR897645,C101220,VA-SW-NX1,2024-07-15,vireo.in,1,4999,NX1-2404-4
VR904993,C102197,VA-EB-PL1,2024-07-15,Amazon,1,2374,PL1-2405-3
VR881662,C107334,VA-AC-CH65,2024-07-16,Amazon,1,1499,CH65-2405-4
VR896294,C101703,VA-AC-CBL,2024-07-16,Amazon,1,319,CBL-2405-2
VR899730,C102610,VA-HP-ST2,2024-07-16,Amazon,1,4749,ST2-2405-1
VR902000,C103284,VA-NB-ARC,2024-07-16,Amazon,1,1104,ARC-2403-1
VR904710,C109004,VA-EB-PL1,2024-07-16,Amazon,1,2499,PL1-2406-3
VR904888,C103993,VA-AC-CH65,2024-07-16,vireo.in,1,1499,CH65-2405-2
VR906669,C104195,VA-HP-ST2,2024-07-16,Flipkart,2,8498,ST2-2404-1
VR907765,C108976,VA-EB-PL1,2024-07-16,Amazon,1,2499,PL1-2406-4
VR887823,C100686,VA-EB-PL1,2024-07-17,Amazon,1,1999,PL1-2405-1
VR894952,C102527,VA-EB-PL1,2024-07-17,Amazon,1,1999,PL1-2404-1
VR896081,C106501,VA-EB-PL1,2024-07-17,Amazon,1,2374,PL1-2406-3
VR900845,C104229,VA-AC-CH65,2024-07-17,Amazon,1,1274,CH65-2405-4
VR903515,C106538,VA-SW-NX1,2024-07-17,vireo.in,1,4499,NX1-2405-2
VR908379,C103420,VA-EB-PL1,2024-07-17,vireo.in,2,4748,PL1-2406-4
VR890202,C102114,VA-EB-PL1,2024-07-18,Amazon,1,1999,PL1-2406-2
VR891943,C103753,VA-HP-ST2,2024-07-18,vireo.in,1,4999,ST2-2405-1
VR900982,C101461,VA-HP-ST2,2024-07-18,vireo.in,1,4999,ST2-2404-4
VR901007,C106552,VA-NB-ARC,2024-07-18,Flipkart,1,1104,ARC-2403-3
VR902685,C108085,VA-SW-NX1,2024-07-18,vireo.in,1,4749,NX1-2404-2
VR909843,C103379,VA-EB-PL1,2024-07-18,vireo.in,1,2374,PL1-2405-1
VR880841,C101360,VA-SP-ORB,2024-07-19,Amazon,1,5999,ORB-2405-1
VR883379,C106159,VA-SP-ORB,2024-07-19,vireo.in,1,5099,ORB-2405-1
VR898430,C100142,VA-EB-PL1,2024-07-19,Amazon,1,2124,PL1-2405-2
VR902386,C103285,VA-SP-ORB,2024-07-19,vireo.in,1,5099,ORB-2404-2
VR902584,C104581,VA-NB-ARC,2024-07-19,Amazon,2,2598,ARC-2406-2
VR907140,C108851,VA-AC-CH65,2024-07-19,vireo.in,1,1349,CH65-2406-4
VR880438,C102758,VA-EB-PL1,2024-07-20,vireo.in,1,2499,PL1-2404-1
VR883695,C102248,VA-HP-ST2,2024-07-20,vireo.in,1,4999,ST2-2405-2
VR892017,C103410,VA-SP-ORB,2024-07-20,vireo.in,1,5999,ORB-2404-4
VR893663,C105566,VA-NB-ARC,2024-07-20,Amazon,1,1104,ARC-2406-4
VR893857,C100915,VA-NB-ARC,2024-07-20,Flipkart,1,1039,ARC-2405-4
VR895823,C104019,VA-EB-PL1,2024-07-20,Amazon,1,1999,PL1-2406-1
VR901757,C104253,VA-NB-ARC,2024-07-20,Amazon,1,1234,ARC-2406-4
VR906038,C104523,VA-SP-ORB,2024-07-20,Flipkart,1,5999,ORB-2405-2
VR881829,C107941,VA-EB-PL1,2024-07-21,Amazon,1,2124,PL1-2404-1
VR889892,C101200,VA-NB-ARC,2024-07-21,vireo.in,1,1299,ARC-2406-1
VR895551,C100808,VA-EB-PL1,2024-07-21,Amazon,1,2374,PL1-2404-3
VR906337,C100637,VA-NB-ARC,2024-07-21,vireo.in,1,1039,ARC-2404-2
VR886743,C105277,VA-SW-NX1,2024-07-22,Flipkart,1,4999,NX1-2404-1
VR892760,C104867,VA-EB-PL1,2024-07-22,Flipkart,1,2499,PL1-2406-2
VR894451,C105694,VA-HP-ST2,2024-07-22,vireo.in,1,4999,ST2-2405-2
VR895536,C102587,VA-SW-NX1,2024-07-22,Flipkart,1,4249,NX1-2405-1
VR895859,C107775,VA-EB-PL1,2024-07-22,vireo.in,2,3998,PL1-2404-2
VR898957,C104351,VA-HP-ST2,2024-07-22,vireo.in,1,4249,ST2-2404-3
VR899758,C105321,VA-EB-PL1,2024-07-22,Flipkart,1,2499,PL1-2406-4
VR900369,C104498,VA-EB-PL1,2024-07-22,Flipkart,1,1999,PL1-2405-2
VR908761,C107505,VA-AC-CH65,2024-07-22,Amazon,1,1274,CH65-2404-4
VR881541,C103410,VA-SP-ORB,2024-07-23,vireo.in,2,9598,ORB-2404-1
VR907600,C103296,VA-SP-ORB,2024-07-23,vireo.in,1,5999,ORB-2404-3
VR886596,C105735,VA-HP-ST2,2024-07-24,Flipkart,1,4999,ST2-2406-1
VR888657,C106917,VA-SP-ORB,2024-07-24,vireo.in,1,4799,ORB-2406-3
VR893011,C109296,VA-AC-CBL,2024-07-24,vireo.in,1,399,CBL-2404-4
VR895720,C104369,VA-HP-ST2,2024-07-24,vireo.in,1,4999,ST2-2404-2
VR896958,C104341,VA-EB-PL1,2024-07-24,Amazon,1,2499,PL1-2405-2
VR901852,C101955,VA-HP-ST2,2024-07-24,Amazon,1,3999,ST2-2404-1
VR906198,C105874,VA-EB-PL1,2024-07-24,Flipkart,1,2124,PL1-2404-4
VR908467,C104313,VA-SP-ORB,2024-07-24,Flipkart,1,5999,ORB-2405-2
VR880615,C101682,VA-HP-ST2,2024-07-25,Amazon,1,4999,ST2-2406-2
VR885816,C108947,VA-HP-ST2,2024-07-25,vireo.in,1,4999,ST2-2405-1
VR889940,C100227,VA-HP-ST2,2024-07-25,vireo.in,1,4999,ST2-2404-2
VR890522,C104377,VA-SW-NX1,2024-07-25,vireo.in,2,7998,NX1-2405-3
VR891730,C101020,VA-AC-CH65,2024-07-25,vireo.in,1,1499,CH65-2406-1
VR893028,C100613,VA-EB-PL1,2024-07-25,Amazon,1,2249,PL1-2405-2
VR906047,C103666,VA-SP-ORB,2024-07-25,vireo.in,1,5399,ORB-2404-2
VR908861,C105317,VA-EB-PL1,2024-07-25,Amazon,1,2249,PL1-2405-4
VR881254,C108183,VA-EB-PL1,2024-07-26,vireo.in,1,2249,PL1-2404-4
VR882683,C103118,VA-AC-CBL,2024-07-26,vireo.in,1,399,CBL-2405-1
VR884078,C109490,VA-HP-ST2,2024-07-26,vireo.in,1,4499,ST2-2405-3
VR885551,C108694,VA-SW-NX1,2024-07-26,vireo.in,1,4249,NX1-2406-3
VR900110,C108635,VA-EB-PL1,2024-07-26,vireo.in,1,2499,PL1-2404-4
VR901219,C106107,VA-HP-ST2,2024-07-26,vireo.in,1,3999,ST2-2407-3
VR901253,C104049,VA-SP-ORB,2024-07-26,vireo.in,1,5999,ORB-2405-1
VR881525,C103230,VA-EB-PL1,2024-07-27,vireo.in,1,2124,PL1-2406-2
VR883863,C104131,VA-EB-PL1,2024-07-27,vireo.in,1,2499,PL1-2404-3
VR884472,C105340,VA-EB-PL1,2024-07-27,vireo.in,1,2499,PL1-2406-2
VR887030,C102405,VA-SP-ORB,2024-07-27,vireo.in,2,10198,ORB-2405-4
VR901318,C108650,VA-SW-NX1,2024-07-27,Amazon,1,4999,NX1-2405-1
VR908116,C108006,VA-EB-PL1,2024-07-27,Amazon,1,2499,PL1-2404-1
VR880208,C108912,VA-EB-PL1,2024-07-28,vireo.in,1,1999,PL1-2405-2
VR888019,C103102,VA-HP-ST2,2024-07-28,Flipkart,1,4999,ST2-2406-3
VR888903,C104675,VA-SP-ORB,2024-07-28,Flipkart,1,5399,ORB-2404-1
VR896713,C108485,VA-EB-PL1,2024-07-28,vireo.in,1,2499,PL1-2404-2
VR884431,C105097,VA-EB-PL1,2024-07-29,Flipkart,2,4248,PL1-2405-3
VR884847,C102125,VA-EB-PL1,2024-07-29,vireo.in,1,2499,PL1-2406-3
VR894911,C107912,VA-HP-ST2,2024-07-29,Flipkart,1,4999,ST2-2407-3
VR898640,C105598,VA-EB-PL1,2024-07-29,Amazon,1,2249,PL1-2407-1
VR900171,C103662,VA-SP-ORB,2024-07-29,vireo.in,1,5999,ORB-2405-4
VR906839,C100492,VA-SW-NX1,2024-07-29,vireo.in,1,4749,NX1-2405-2
VR884821,C107501,VA-NB-ARC,2024-07-30,Amazon,1,1234,ARC-2406-4
VR885221,C109223,VA-AC-CH65,2024-07-30,vireo.in,1,1499,CH65-2404-3
VR891498,C101755,VA-EB-PL1,2024-07-30,vireo.in,1,2499,PL1-2405-1
VR894499,C102349,VA-SP-ORB,2024-07-30,Flipkart,1,5099,ORB-2405-1
VR894893,C103098,VA-EB-PL1,2024-07-30,vireo.in,1,2374,PL1-2406-2
VR896595,C105290,VA-EB-PL1,2024-07-30,Flipkart,1,2499,PL1-2405-1
VR898701,C104959,VA-EB-PL1,2024-07-30,vireo.in,1,1999,PL1-2406-1
VR898898,C109424,VA-EB-PL1,2024-07-30,Amazon,1,2499,PL1-2407-3
VR903504,C106307,VA-SP-ORB,2024-07-30,vireo.in,1,5999,ORB-2406-3
VR905788,C108727,VA-SW-NX1,2024-07-30,vireo.in,1,4249,NX1-2406-4
VR882019,C101922,VA-AC-CH65,2024-07-31,Amazon,1,1499,CH65-2406-1
VR884856,C109146,VA-SP-ORB,2024-07-31,vireo.in,1,5999,ORB-2407-4
VR897289,C100370,VA-SP-ORB,2024-07-31,vireo.in,1,5399,ORB-2406-2
VR905324,C102130,VA-EB-PL1,2024-07-31,vireo.in,1,2374,PL1-2404-2
VR906776,C101361,VA-EB-PL1,2024-07-31,vireo.in,1,2374,PL1-2405-1
VR880739,C109129,VA-SW-NX1,2024-08-01,vireo.in,2,9998,NX1-2405-4
VR886589,C103714,VA-SW-FIT,2024-08-01,Flipkart,1,1799,FIT-2404-1
VR890364,C108614,VA-AC-CH65,2024-08-01,vireo.in,1,1274,CH65-2406-2
VR893017,C101053,VA-SW-FIT,2024-08-01,vireo.in,1,1799,FIT-2404-2
VR893204,C106958,VA-EB-PL1,2024-08-01,Amazon,1,2499,PL1-2407-1
VR896564,C101712,VA-EB-PL1,2024-08-01,Flipkart,1,2374,PL1-2405-2
VR896699,C104094,VA-AC-CH65,2024-08-01,Amazon,1,1199,CH65-2404-3
VR897285,C106175,VA-AC-CBL,2024-08-01,Flipkart,1,399,CBL-2406-1
VR897729,C105609,VA-NB-ARC,2024-08-01,Amazon,1,1234,ARC-2407-2
VR900462,C107048,VA-HP-ST2,2024-08-01,vireo.in,1,4999,ST2-2406-1
VR908685,C102450,VA-SW-NX1,2024-08-01,vireo.in,1,4999,NX1-2404-2
VR908927,C107902,VA-SW-NX1,2024-08-01,vireo.in,1,4999,NX1-2406-3
VR880119,C106741,VA-EB-PL1,2024-08-02,vireo.in,1,2124,PL1-2405-2
VR881361,C106229,VA-AC-CH65,2024-08-02,Flipkart,1,1499,CH65-2405-2
VR885459,C102002,VA-SW-FIT,2024-08-02,Amazon,1,1799,FIT-2406-2
VR888846,C100779,VA-AC-CH65,2024-08-02,vireo.in,1,1274,CH65-2406-3
